Action,Dealer Shown Card,Player Total,Hard Total,Soft Total,Hard Total Initial,Soft Total initial,Pairs
SPLIT,7,22,0,0,0,1,1
SPLIT,7,16,0,0,1,0,1
SPLIT,7,14,0,0,1,0,1
SPLIT,7,2,0,0,0,1,1
SPLIT,8,22,0,0,0,1,1
SPLIT,8,18,0,0,1,0,1
SPLIT,8,16,0,0,1,0,1
SPLIT,8,14,0,0,1,0,1
SPLIT,8,2,0,0,0,1,1
SPLIT,9,22,0,0,0,1,1
SPLIT,9,18,0,0,1,0,1
SPLIT,9,16,0,0,1,0,1
SPLIT,9,14,0,0,1,0,1
SPLIT,9,2,0,0,0,1,1
SPLIT,10,22,0,0,0,1,1
